generic,genus,genus_ref,genus_type,genus_type_ref,genus_syn,genus_syn_ref,genus_new_syn,subgenus,subgenus_ref,subgenus_type,subgenus_type_ref
Pterophilus,Pterophilus,"Clay & Price, 1970a:119",Pterophilus sudanensis,Clay & Price,,,,,,,
Quateia,Quateia,"Price & Emerson, 1975a:430",Quateia irianensis,Price & Emerson,,,,,,,
Myrsidea,Myrsidea,,Ramphasticola hirsuta,"Carriker, 1949a:305 ",Ramphasticola,"Hopkins & Clay, 1952:321",,,,,
Colpocephalum,Colpocephalum,,Ratitiphagus batocina,"Eichler, 1949b:13 ",Ratitiphagus,"Price, 1967e:367",,,,,
Rediella,Rediella,"Hopkins, 1948:105",Rediella mirabilis,Hopkins,,,,,,,
Colpocephalum,Colpocephalum,,nomen nudum,"Kéler, 1939c:57 ",Scalarisoma,"Hopkins & Clay, 1952:337",,,,,
Colpocephalum,Colpocephalum,,Colpocephalum scopinum,"Eichler, 1952c:77 ",Scopigogus,"Hopkins & Clay, 1953:445",,,,,
Somaphantus,Somaphantus,"Paine, 1914b:1",Somaphantus lusius,Paine,,,,,,,
Menopon,Menopon,,Menopon spinulosum,"Eichler, 1982:85 ",Spinulosipon,,New Syn,,,,
Takamatsuia,Dennyus,,,,,,New Syn,Takamatsuia,"Uchida, 1926:32 ",Takamatsuia major,Uchida
Colpocephalum,Colpocephalum,,Colpocephalum talegallae,"Mey, 1982d:232 ",Talegalligogus,,New Syn,,,,
Meromenopon,Meromenopon,,Tamaninia rara,"Conci, 1941a:106 ",Tamaninia,"Hopkins & Clay, 1952:347",,,,,
Colpocephalum,Colpocephalum,,Colpocephalum heterosoma,"Eichler, 1982:85 ",Tendeiroella,,New Syn,,,,
Piagetiella,Piagetiella,,Tetrophthalmus chilensis,"Grosse, 1885:534 ",Tetrophthalmus,"Hopkins & Clay, 1952:348",,,,,
Trinoton,Trinoton,"Nitzsch, 1818:300",Liotheum conspurcatum,Nitzsch,,,,,,,
Turacoeca,Turacoeca,"Thompson, 1938:350",Colpocephalum scleroderma,Ewing,,,,,,,
Menacanthus,Menacanthus,,Neumannia okadai,"Ewing, 1930a:125 ",Uchida,"Hopkins & Clay, 1952:360",,,,,
Conciella,Conciella,,Ululoecus panjabensis,"Ansari, 1951:160 ",Ululoecus,"Hopkins & Clay, 1953:446",,,,,
